DT,latitude,longitude,R,NIR,Fmask,Sensor
2020169T231617,63.1643479,178.994274,0.050800000000000005,0.2795,64,LC08
2020169T231617,63.1367844,179.041577,0.0736,0.1388,128,LC08
2020192T232239,63.0398979,179.1493163,0.0682,0.26990000000000003,128,LC08
2020192T232239,63.1745585,179.132383,0.0463,0.35100000000000003,128,LC08
2020192T232239,63.1778561,179.1682067,0.035500000000000004,0.334,128,LC08
2020192T232239,63.1908564,179.0553359,0.0555,0.24400000000000002,64,LC08
2020192T232239,63.1643479,178.994274,0.0697,0.38420000000000004,192,LC08
2020192T232239,63.1367844,179.041577,0.054400000000000004,0.24680000000000002,128,LC08
2020199T232852,63.0398979,179.1493163,0.033100000000000004,0.1423,64,LC08
2020199T232852,63.1745585,179.132383,0.039,0.3231,64,LC08
2020199T232852,63.2462262,179.0952475,0.049100000000000005,0.37020000000000003,64,LC08
2020199T232852,63.1778561,179.1682067,0.033,0.3241,64,LC08
2020199T232852,63.2367396,179.0491019,0.038200000000000005,0.37020000000000003,64,LC08
2020199T232852,63.1908564,179.0553359,0.049100000000000005,0.2378,64,LC08
2020199T232852,63.1643479,178.994274,0.045000000000000005,0.40540000000000004,64,LC08
2020208T232244,63.0398979,179.1493163,0.0663,0.2913,192,LC08
2020208T232244,63.1745585,179.132383,0.036500000000000005,0.3276,192,LC08
2020208T232244,63.2462262,179.0952475,0.0385,0.3113,192,LC08
2020208T232244,63.1778561,179.1682067,0.028,0.327,192,LC08
2020208T232244,63.3337091,178.9979193,0.1116,0.19110000000000002,192,LC08
2020208T232244,63.2367396,179.0491019,0.0376,0.32580000000000003,192,LC08
2020208T232244,63.1908564,179.0553359,0.058800000000000005,0.2781,192,LC08
2020208T232244,63.1643479,178.994274,0.0465,0.3347,192,LC08
2020208T232244,63.1367844,179.041577,0.0668,0.2957,192,LC08
